Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City
B-25797,1630,802,5,Furniture,Tables,EMI,24-04-2018,Hemant,Kerala ,Thiruvananthapuram
B-25618,12,0,2,Clothing,Hankerchief,UPI,22-07-2018,Madhulika,Madhya Pradesh,Bhopal
B-25723,12,-7,2,Clothing,Leggings,UPI,9/1/2018,Shardul,Gujarat,Ahmedabad
B-25755,1709,564,3,Clothing,Trousers,Credit Card,2/11/2018,Sheetal,Maharashtra,Pune
B-25788,12,3,1,Clothing,Stole,UPI,21-03-2018,Pournamasi,Madhya Pradesh,Indore
B-25681,1625,-77,3,Electronics,Phones,EMI,11/9/2018,Surabhi,Maharashtra,Mumbai
B-25991,13,5,2,Clothing,Hankerchief,UPI,12/7/2018,Manshul,Uttar Pradesh,Lucknow
B-25779,1361,980,3,Furniture,Tables,COD,26-03-2018,Shrichand,Punjab,Chandigarh
B-25909,1622,-448,3,Electronics,Phones,EMI,4/3/2018,Parth,Maharashtra,Pune
B-25943,1547,340,6,Electronics,Accessories,EMI,24-09-2018,Siddharth,Madhya Pradesh,Indore
B-25935,1657,460,4,Furniture,Chairs,Credit Card,11/5/2018,Priyanka,Maharashtra,Pune
B-25613,1603,0,9,Clothing,Saree,Credit Card,8/4/2018,Aarushi,Tamil Nadu,Chennai
B-25729,1549,-439,4,Electronics,Phones,Credit Card,14-08-2018,Vaibhav,Madhya Pradesh,Indore
B-25772,1183,106,4,Electronics,Printers,EMI,12/9/2018,Savi,Maharashtra,Pune
B-25655,74,-123,8,Clothing,Skirt,UPI,3/4/2018,Jahan,Madhya Pradesh,Bhopal
B-25640,1499,239,13,Clothing,Saree,Credit Card,7/3/2018,Parishi,West Bengal,Kolkata
B-25810,1120,199,6,Clothing,Saree,EMI,8/5/2018,Farah,Nagaland,Kohima
B-25801,15,-2,1,Clothing,T-shirt,Debit Card,8/11/2018,Abhijeet,Madhya Pradesh,Bhopal
B-26085,1487,624,3,Clothing,Trousers,Credit Card,26-08-2018,Anudeep,Madhya Pradesh,Indore
B-25868,1118,206,2,Furniture,Tables,Credit Card,4/2/2018,Yohann,Delhi,Delhi
B-25714,11,-5,2,Clothing,Hankerchief,COD,2/1/2018,Girase,Kerala ,Thiruvananthapuram
B-25784,15,4,1,Clothing,Hankerchief,Debit Card,9/2/2018,Arpita,Karnataka,Bangalore
B-25608,1364,1864,5,Furniture,Tables,Credit Card,22-06-2018,Vijay,Jammu and Kashmir,Kashmir
B-26051,1337,147,7,Electronics,Printers,Credit Card,29-10-2018,Arti,Maharashtra,Pune
B-25900,15,2,1,Clothing,Leggings,Debit Card,1/4/2018,Bharat,Gujarat,Ahmedabad
B-25760,322,-193,5,Electronics,Printers,UPI,23-11-2018,Divyeta,Madhya Pradesh,Indore
B-25762,1316,527,7,Electronics,Electronic Games,Credit Card,20-02-2018,Manju,Andhra Pradesh,Hyderabad
B-25995,1314,342,3,Furniture,Bookcases,Credit Card,20-01-2018,Oshin,Maharashtra,Pune
B-25965,17,7,3,Clothing,Hankerchief,Debit Card,1/6/2018,Chandni,Rajasthan,Jaipur
B-25967,17,2,2,Clothing,Skirt,Debit Card,30-10-2018,Pranjali,West Bengal,Kolkata
B-25674,17,-12,5,Clothing,Skirt,Debit Card,4/12/2018,Monu,Punjab,Amritsar
B-25929,1308,536,3,Furniture,Bookcases,Credit Card,29-12-2018,Shruti,Maharashtra,Mumbai
B-25777,1076,-38,4,Electronics,Printers,Credit Card,14-01-2018,Krutika,Andhra Pradesh,Hyderabad
B-26006,1301,573,5,Electronics,Accessories,Credit Card,2/9/2018,Sanjana,Bihar,Patna
B-25697,1300,-16,8,Electronics,Printers,Credit Card,18-01-2018,Mahima,Madhya Pradesh,Indore
B-25667,11,-2,4,Clothing,Hankerchief,COD,22-07-2018,Rishabh,Rajasthan,Jaipur
B-25836,1298,65,9,Electronics,Printers,EMI,24-11-2018,Dashyam,Gujarat,Surat
B-25984,304,97,6,Clothing,Stole,UPI,16-03-2018,Tulika,Madhya Pradesh,Bhopal
B-25728,1055,264,4,Electronics,Printers,EMI,10/10/2018,Nripraj,Punjab,Chandigarh
B-25757,17,-13,4,Clothing,Skirt,Debit Card,18-11-2018,Vikash,Goa,Goa
B-25957,147,73,3,Clothing,Stole,COD,19-02-2018,Mukesh,Haryana,Chandigarh
B-26061,965,-68,3,Electronics,Printers,COD,23-04-2018,Bhishm,Maharashtra,Mumbai
B-25735,12,-2,3,Clothing,Hankerchief,COD,5/1/2018,Ankit,Haryana,Chandigarh
B-25616,14,-2,3,Clothing,Hankerchief,UPI,9/4/2018,Yogesh,Bihar,Patna
B-25666,934,-916,7,Electronics,Electronic Games,COD,10/9/2018,Aditi,Madhya Pradesh,Indore
B-25675,929,-93,9,Clothing,Saree,COD,2/8/2018,Ayush,Punjab,Chandigarh
B-26079,18,3,2,Clothing,Hankerchief,Debit Card,27-01-2018,Parin,Maharashtra,Mumbai
B-25850,916,192,11,Electronics,Phones,COD,29-04-2018,Kirti,Jammu and Kashmir,Kashmir
B-25693,76,-72,9,Clothing,Hankerchief,COD,22-07-2018,Ameesha,Maharashtra,Pune
B-25852,869,67,4,Furniture,Tables,COD,13-08-2018,Ayush,Maharashtra,Mumbai
B-25860,112,24,3,Clothing,Kurti,COD,23-05-2018,Anjali,Haryana,Chandigarh
B-25853,39,16,6,Clothing,Skirt,UPI,13-05-2018,Tulika,Madhya Pradesh,Bhopal
B-25898,857,-274,2,Furniture,Tables,COD,17-08-2018,Shivam,Uttar Pradesh,Lucknow
B-26100,828,230,2,Furniture,Chairs,COD,14-03-2018,Anurag,Madhya Pradesh,Indore
B-25653,1279,-640,8,Electronics,Printers,EMI,29-10-2018,Sanjana,Madhya Pradesh,Indore
B-25839,1250,486,7,Clothing,Saree,EMI,27-06-2018,Shaily,Maharashtra,Mumbai
B-25651,823,-18,7,Furniture,Chairs,COD,13-01-2018,Priyanka,Madhya Pradesh,Indore
B-25957,1157,-13,9,Furniture,Bookcases,Credit Card,22-05-2018,Tanvi,Punjab,Chandigarh
B-25704,126,-63,3,Electronics,Accessories,UPI,31-05-2018,Shreya,Madhya Pradesh,Bhopal
B-25730,1145,-706,3,Electronics,Phones,Credit Card,6/5/2018,Chirag,Maharashtra,Mumbai
B-26052,774,170,3,Electronics,Accessories,COD,31-01-2018,Shweta,Rajasthan,Udaipur
B-25656,24,-1,2,Clothing,Hankerchief,COD,5/11/2018,Abhishek,Goa,Goa
B-26033,774,170,3,Electronics,Accessories,COD,7/12/2018,Abhishek,Rajasthan,Udaipur
B-25850,93,-1,2,Clothing,Hankerchief,COD,10/10/2018,Hrisheekesh,Maharashtra,Mumbai
B-25945,765,-36,3,Electronics,Electronic Games,COD,21-10-2018,Kartik,Madhya Pradesh,Indore
B-26086,762,101,6,Electronics,Printers,COD,14-01-2018,Trupti,Gujarat,Ahmedabad
B-25752,761,266,9,Electronics,Electronic Games,COD,21-06-2018,Noopur,Karnataka,Bangalore
B-26098,96,-48,5,Clothing,Leggings,UPI,26-04-2018,Parth,Maharashtra,Pune
B-26067,1137,-14,7,Electronics,Printers,EMI,11/8/2018,Harsh,Madhya Pradesh,Bhopal
B-25730,18,8,2,Clothing,Hankerchief,Debit Card,10/12/2018,Swapnil,Delhi,Delhi
B-25986,749,-307,7,Furniture,Furnishings,COD,7/11/2018,Soumyabrata,Andhra Pradesh,Hyderabad
B-26067,1120,199,6,Clothing,Saree,EMI,28-01-2018,Amruta,Delhi,Delhi
B-25953,744,119,6,Electronics,Printers,COD,8/12/2018,Aishwarya,Uttar Pradesh,Prayagraj
B-25952,14,0,4,Clothing,Hankerchief,UPI,20-11-2018,Pranav,Andhra Pradesh,Hyderabad
B-25903,19,8,2,Clothing,Hankerchief,Debit Card,26-02-2018,Sahil,Punjab,Chandigarh
B-25650,512,-225,5,Clothing,Saree,COD,27-05-2018,Mitali,Nagaland,Kohima
B-25970,742,198,2,Furniture,Bookcases,COD,31-03-2018,Hitika,Madhya Pradesh,Indore
B-26062,44,-40,3,Clothing,Stole,COD,7/5/2018,Anurag,Madhya Pradesh,Indore
B-25643,1061,-36,8,Furniture,Bookcases,EMI,21-01-2018,Paromita,Punjab,Amritsar
B-25632,19,-2,2,Clothing,Leggings,Debit Card,15-02-2018,Jitesh,Uttar Pradesh,Lucknow
B-25821,17,0,1,Clothing,Hankerchief,COD,20-05-2018,Pratyusmita,Bihar,Patna
B-25878,741,267,5,Furniture,Bookcases,COD,22-02-2018,Atharv,West Bengal,Kolkata
B-25752,735,-235,6,Electronics,Printers,COD,8/3/2018,Ajay,Karnataka,Bangalore
B-25750,19,-1,1,Clothing,Shirt,Debit Card,5/2/2018,Diwakar,Delhi,Delhi
B-25657,1021,-48,4,Electronics,Electronic Games,EMI,14-09-2018,Rutuja,Gujarat,Ahmedabad
B-25787,556,-209,7,Clothing,Saree,COD,28-08-2018,Sanjova,Maharashtra,Pune
B-25808,63,-17,6,Clothing,Leggings,COD,5/10/2018,Shivanshu,Madhya Pradesh,Indore
B-25885,734,248,2,Furniture,Chairs,COD,11/1/2018,Mhatre,Madhya Pradesh,Indore
B-25778,933,166,5,Clothing,Saree,Credit Card,26-03-2018,Mukesh,Haryana,Chandigarh
B-25759,20,-9,6,Clothing,Hankerchief,Debit Card,3/11/2018,Snel,Kerala ,Thiruvananthapuram
B-25747,877,395,2,Furniture,Bookcases,Credit Card,13-10-2018,Praneet,Maharashtra,Mumbai
B-25878,719,303,6,Furniture,Chairs,COD,13-01-2018,Jesal,West Bengal,Kolkata
B-25603,12,1,2,Clothing,Hankerchief,COD,22-01-2018,Rhea,Maharashtra,Mumbai
B-25691,714,56,4,Clothing,Saree,COD,24-11-2018,Mrinal,Maharashtra,Mumbai
B-25607,50,-15,4,Clothing,Leggings,COD,10/3/2018,Sharda,Kerala ,Thiruvananthapuram
B-25708,709,-100,5,Electronics,Phones,COD,28-11-2018,Shatayu,Madhya Pradesh,Indore
B-26021,21,-12,3,Clothing,Hankerchief,Debit Card,6/12/2018,Rohan,Madhya Pradesh,Indore
B-25831,693,254,6,Clothing,Saree,COD,20-08-2018,Mohan,Maharashtra,Mumbai
B-25850,24,1,4,Clothing,Hankerchief,COD,14-11-2018,Chikku,Madhya Pradesh,Indore
B-25670,24,1,2,Clothing,Hankerchief,UPI,16-06-2018,Akancha,Maharashtra,Mumbai
B-25852,24,1,2,Clothing,Hankerchief,COD,26-04-2018,Amit,Sikkim,Gangtok
B-26029,21,10,1,Clothing,T-shirt,Debit Card,1/7/2018,Kishwar,Madhya Pradesh,Indore
B-25959,681,259,4,Furniture,Chairs,COD,27-10-2018,Mahima,Sikkim,Gangtok
B-25676,674,-187,2,Furniture,Tables,COD,10/11/2018,Abhijeet,Maharashtra,Mumbai
B-26097,671,-309,5,Electronics,Electronic Games,COD,4/12/2018,Vrinda,Uttar Pradesh,Mathura
B-25888,646,-213,3,Electronics,Electronic Games,COD,18-01-2018,Muskan,Madhya Pradesh,Indore
B-25911,40,15,1,Clothing,Kurti,COD,6/2/2018,Shubham,Delhi,Delhi
B-25662,24,-2,2,Clothing,T-shirt,COD,28-03-2018,Vini,Karnataka,Bangalore
B-25950,644,167,2,Electronics,Printers,COD,9/8/2018,Kartik,Gujarat,Ahmedabad
B-25847,643,225,2,Electronics,Printers,COD,25-01-2018,Manisha,Rajasthan,Udaipur
B-25796,632,-316,6,Clothing,Saree,COD,25-05-2018,Charika,Goa,Goa
B-25693,632,316,6,Clothing,Saree,COD,3/11/2018,Rohan,Himachal Pradesh,Simla
B-25993,610,208,3,Electronics,Printers,COD,2/12/2018,Rohan,Punjab,Amritsar
B-26052,78,-28,6,Clothing,Kurti,UPI,8/1/2018,Ankur,Andhra Pradesh,Hyderabad
B-25930,595,119,4,Furniture,Bookcases,COD,3/11/2018,Aniket,Haryana,Chandigarh
B-25785,595,292,3,Clothing,Saree,COD,26-04-2018,Nishi,Maharashtra,Mumbai
B-26093,852,51,5,Furniture,Bookcases,Credit Card,22-10-2018,Tanushree,Maharashtra,Mumbai
B-26053,594,89,3,Furniture,Bookcases,COD,22-03-2018,Aarushi,Tamil Nadu,Chennai
B-26019,585,175,13,Clothing,T-shirt,COD,23-04-2018,Pinky,Jammu and Kashmir,Kashmir
B-26070,582,262,5,Furniture,Furnishings,COD,5/10/2018,Yash,Maharashtra,Mumbai
B-25870,845,84,7,Clothing,Saree,Credit Card,18-06-2018,Parna,Madhya Pradesh,Bhopal
B-25855,829,19,4,Electronics,Printers,Credit Card,24-09-2018,Sukrith,Maharashtra,Mumbai
B-25602,561,212,3,Clothing,Saree,COD,6/10/2018,Dhanraj,Madhya Pradesh,Indore
B-25728,771,-424,2,Electronics,Phones,Credit Card,5/7/2018,Megha,Maharashtra,Pune
B-25803,765,8,6,Clothing,Saree,EMI,25-05-2018,Piyali,Sikkim,Gangtok
B-25996,31,2,2,Clothing,Hankerchief,COD,10/11/2018,Anand,Madhya Pradesh,Indore
B-26078,557,-111,2,Electronics,Electronic Games,COD,15-09-2018,Ayush,West Bengal,Kolkata
B-25803,757,371,2,Electronics,Printers,Credit Card,3/1/2018,Monica,Punjab,Chandigarh
B-25682,545,-73,11,Electronics,Phones,COD,9/3/2018,Kirti,Jammu and Kashmir,Kashmir
B-25749,1052,-82,3,Furniture,Bookcases,UPI,18-03-2018,Shruti,Karnataka,Bangalore
B-25962,544,-152,3,Furniture,Bookcases,COD,24-09-2018,Avish,Kerala ,Thiruvananthapuram
B-25899,22,9,2,Clothing,Leggings,Debit Card,30-01-2018,Atul,Delhi,Delhi
B-25845,757,371,2,Electronics,Printers,Credit Card,27-01-2018,Shivangi,Madhya Pradesh,Indore
B-25951,742,198,2,Furniture,Bookcases,Credit Card,10/3/2018,Mayank,Maharashtra,Mumbai
B-25828,537,107,3,Clothing,Saree,COD,22-03-2018,Kasheen,West Bengal,Kolkata
B-25803,536,91,1,Clothing,Trousers,COD,20-09-2018,Asish,Jammu and Kashmir,Kashmir
B-25656,6,3,1,Clothing,Hankerchief,COD,7/6/2018,Krutika,Bihar,Patna
B-25681,523,204,7,Clothing,Trousers,COD,19-01-2018,Tejeswini,Maharashtra,Pune
B-25658,27,9,2,Clothing,T-shirt,UPI,14-08-2018,Priyanshu,Madhya Pradesh,Indore
B-25698,516,392,8,Furniture,Chairs,COD,24-10-2018,Nikita,Punjab,Chandigarh
B-25832,504,116,3,Furniture,Bookcases,COD,22-04-2018,Monisha,Rajasthan,Jaipur
B-25886,502,84,4,Electronics,Phones,COD,14-08-2018,Nishant,Maharashtra,Mumbai
B-25897,734,213,6,Electronics,Electronic Games,Credit Card,10/6/2018,Sheetal,Madhya Pradesh,Indore
B-25873,42,12,2,Clothing,Kurti,COD,11/2/2018,Kartikay,Bihar,Patna
B-25858,29,11,4,Clothing,Skirt,COD,23-02-2018,Pinky,Jammu and Kashmir,Kashmir
B-25867,240,12,6,Clothing,Kurti,UPI,23-06-2018,Amisha,Tamil Nadu,Chennai
B-25633,496,-79,2,Clothing,Trousers,COD,21-01-2018,Soumya,Rajasthan,Udaipur
B-25609,485,29,4,Electronics,Electronic Games,COD,28-10-2018,Harshita,Maharashtra,Mumbai
B-25896,31,-11,3,Clothing,Skirt,UPI,7/8/2018,Aman,Nagaland,Kohima
B-26000,676,151,3,Electronics,Printers,Credit Card,28-11-2018,Brijesh,Rajasthan,Udaipur
B-25959,23,8,2,Clothing,Hankerchief,Debit Card,25-01-2018,Priyanka,Uttar Pradesh,Prayagraj
B-25940,13,3,2,Clothing,Hankerchief,COD,29-03-2018,Pinky,Jammu and Kashmir,Kashmir
B-26087,180,0,8,Clothing,Stole,COD,13-04-2018,Vandana,Himachal Pradesh,Simla
B-26055,671,114,9,Electronics,Phones,Credit Card,21-07-2018,Kiran,Maharashtra,Mumbai
B-25980,22,11,3,Clothing,Kurti,COD,6/3/2018,Paridhi,Rajasthan,Jaipur
B-25653,668,-31,3,Electronics,Printers,Credit Card,9/4/2018,Jitesh,Uttar Pradesh,Lucknow
B-26052,145,0,3,Clothing,Saree,UPI,3/8/2018,Navdeep,Madhya Pradesh,Indore
B-25877,24,8,2,Clothing,Skirt,Debit Card,17-01-2018,Shreya,Maharashtra,Mumbai
B-25608,476,0,3,Furniture,Chairs,COD,14-06-2018,Bhaggyasree,Maharashtra,Mumbai
B-25897,24,11,5,Clothing,Hankerchief,Debit Card,5/1/2018,Vineet,Sikkim,Gangtok
B-25881,37,3,3,Clothing,Hankerchief,COD,4/12/2018,Divyansha,Maharashtra,Mumbai
B-25905,152,50,6,Clothing,Stole,UPI,10/10/2018,Swapnil,Madhya Pradesh,Indore
B-25818,32,11,2,Clothing,Leggings,UPI,12/7/2018,Anjali,Maharashtra,Mumbai
B-25835,52,11,5,Clothing,Leggings,COD,18-12-2018,Kajal,Delhi,Delhi
B-26081,24,11,3,Clothing,Hankerchief,Debit Card,10/12/2018,Amlan,Madhya Pradesh,Indore
B-25730,473,42,4,Furniture,Chairs,COD,28-03-2018,Atharv,West Bengal,Kolkata
B-25837,263,50,5,Clothing,Stole,COD,10/5/2018,Sabah,Maharashtra,Mumbai
B-25893,61,11,3,Clothing,Kurti,COD,21-03-2018,Jahan,Madhya Pradesh,Bhopal
B-25689,469,-459,3,Electronics,Electronic Games,COD,18-01-2018,Surbhi,Gujarat,Ahmedabad
B-26028,1272,547,2,Electronics,Phones,COD,8/11/2018,Shubham,Maharashtra,Pune
B-26081,169,0,3,Electronics,Accessories,COD,28-04-2018,Ajay,Karnataka,Bangalore
B-25903,25,11,3,Clothing,Leggings,Debit Card,8/6/2018,Shreya,Kerala ,Thiruvananthapuram
B-25651,457,-41,4,Clothing,Saree,COD,14-02-2018,Hazel,Karnataka,Bangalore
B-25903,455,77,8,Electronics,Accessories,COD,23-02-2018,Vini,Karnataka,Bangalore
B-26086,25,2,2,Clothing,Hankerchief,Debit Card,10/3/2018,Sonal,Bihar,Patna
B-25654,450,-90,3,Electronics,Printers,COD,15-10-2018,Ankur,Madhya Pradesh,Bhopal
B-25720,30,-35,1,Furniture,Chairs,COD,10/7/2018,Srishti,Jammu and Kashmir,Kashmir
B-26057,659,-37,2,Furniture,Bookcases,Credit Card,4/1/2018,Shikhar,Maharashtra,Mumbai
B-25798,448,148,2,Electronics,Printers,COD,13-02-2018,Divsha,Rajasthan,Jaipur
B-25961,446,53,3,Electronics,Printers,COD,11/5/2018,Nida,Madhya Pradesh,Indore
B-25701,98,-45,2,Furniture,Chairs,UPI,12/10/2018,Mane,Andhra Pradesh,Hyderabad
B-26055,443,11,1,Clothing,Saree,COD,26-04-2018,Sanjay,Goa,Goa
B-25653,427,-50,7,Electronics,Phones,COD,4/12/2018,Sathya,Gujarat,Surat
B-25670,656,-36,2,Furniture,Bookcases,Credit Card,11/6/2018,Sanjna,Maharashtra,Mumbai
B-26056,424,161,2,Clothing,Saree,COD,17-05-2018,Sweta,Maharashtra,Mumbai
B-26061,27,8,2,Clothing,T-shirt,Debit Card,26-04-2018,Nidhi,Nagaland,Kohima
B-25602,424,-272,5,Electronics,Phones,COD,13-03-2018,Chirag,Maharashtra,Mumbai
B-26016,202,4,4,Clothing,Hankerchief,COD,3/3/2018,Nidhi,Nagaland,Kohima
B-25873,1275,357,2,Electronics,Phones,UPI,2/9/2018,Sakshi,Madhya Pradesh,Indore
B-25761,418,70,7,Electronics,Phones,COD,8/8/2018,Devendra,Andhra Pradesh,Hyderabad
B-25819,417,49,3,Electronics,Electronic Games,COD,18-04-2018,Manju,Andhra Pradesh,Hyderabad
B-25853,199,48,4,Clothing,Stole,UPI,18-01-2018,Aparajita,West Bengal,Kolkata
B-25662,385,-77,11,Furniture,Furnishings,UPI,2/9/2018,Surbhi,Maharashtra,Mumbai
B-25993,414,199,3,Electronics,Phones,COD,18-04-2018,Ramesh,Gujarat,Ahmedabad
B-25703,97,-45,4,Clothing,Saree,COD,11/6/2018,Swetha,Madhya Pradesh,Indore
B-25848,648,50,6,Electronics,Electronic Games,Credit Card,25-10-2018,Apoorva,Haryana,Chandigarh
B-25678,27,-25,2,Clothing,Shirt,Debit Card,23-02-2018,Bhishm,Maharashtra,Mumbai
B-25925,27,12,1,Clothing,Stole,Debit Card,9/7/2018,Stuti,Karnataka,Bangalore
B-25977,27,1,1,Clothing,Stole,UPI,1/2/2018,Anjali,Delhi,Delhi
B-25797,413,-314,9,Furniture,Chairs,COD,4/11/2018,K,Sikkim,Gangtok
B-26067,53,2,4,Clothing,Hankerchief,COD,6/11/2018,Kushal,Nagaland,Kohima
B-25810,29,8,5,Clothing,Hankerchief,UPI,15-09-2018,Aayushi,Maharashtra,Mumbai
B-25648,30,13,1,Clothing,T-shirt,UPI,20-04-2018,Deepak,Madhya Pradesh,Bhopal
B-25933,412,412,6,Clothing,Saree,COD,4/2/2018,Prashant,Delhi,Delhi
B-25942,646,-23,2,Electronics,Printers,Credit Card,3/6/2018,Bathina,Karnataka,Bangalore
B-25656,30,-5,5,Clothing,Stole,UPI,22-07-2018,Turumella,Madhya Pradesh,Indore
B-26067,618,27,4,Furniture,Bookcases,Credit Card,14-02-2018,Aarushi,Tamil Nadu,Chennai
B-25673,143,-124,5,Clothing,Saree,UPI,24-08-2018,Pooja,Goa,Goa
B-25797,31,1,2,Clothing,Hankerchief,UPI,5/10/2018,Sudheer,Karnataka,Bangalore
B-26098,409,86,3,Clothing,Saree,COD,18-08-2018,Akshay,Bihar,Patna
B-25656,406,126,2,Clothing,Saree,COD,16-02-2018,Yogesh,Bihar,Patna
B-25791,565,66,7,Clothing,Saree,Credit Card,27-04-2018,Paridhi,Rajasthan,Jaipur
B-26053,85,2,6,Clothing,Stole,COD,22-09-2018,Akshay,Uttar Pradesh,Lucknow
B-25983,561,118,5,Furniture,Bookcases,Credit Card,20-03-2018,Sweta,Maharashtra,Mumbai
B-25743,503,-56,2,Clothing,Trousers,COD,9/2/2018,Shubham,Jammu and Kashmir,Kashmir
B-25867,31,14,3,Clothing,Stole,UPI,26-03-2018,Vandana,Himachal Pradesh,Simla
B-25973,398,111,8,Clothing,Hankerchief,COD,17-04-2018,Sagar,Nagaland,Kohima
B-25895,388,93,2,Furniture,Bookcases,COD,30-01-2018,Kajal,Delhi,Delhi
B-26003,498,-116,4,Clothing,Saree,UPI,31-08-2018,Ashmeet,West Bengal,Kolkata
B-25717,561,212,3,Clothing,Saree,Credit Card,31-01-2018,Manjiri,Delhi,Delhi
B-26064,61,3,4,Clothing,Hankerchief,COD,31-10-2018,Sneha,Karnataka,Bangalore
B-25630,34,-22,4,Clothing,T-shirt,COD,19-05-2018,Pournamasi,Madhya Pradesh,Indore
B-26050,32,6,3,Clothing,Shirt,UPI,21-02-2018,Sarita,Maharashtra,Pune
B-25786,623,-192,3,Furniture,Tables,UPI,13-01-2018,Chetan,Gujarat,Ahmedabad
B-26035,520,151,3,Electronics,Phones,Credit Card,5/12/2018,Aman,Maharashtra,Mumbai
B-25693,32,-16,6,Clothing,Saree,UPI,10/2/2018,Komal,Uttar Pradesh,Lucknow
B-25703,32,-5,5,Clothing,Hankerchief,UPI,24-11-2018,Bhosale,Punjab,Amritsar
B-25966,510,234,6,Electronics,Electronic Games,EMI,19-12-2018,Sukruta,Punjab,Amritsar
B-26060,382,68,3,Clothing,Saree,COD,24-09-2018,Sukant,Sikkim,Gangtok
B-25898,33,13,3,Clothing,Leggings,UPI,8/2/2018,Harsh,Delhi,Delhi
B-25686,381,-13,2,Clothing,Saree,COD,1/5/2018,Yaanvi,Madhya Pradesh,Indore
B-26051,490,88,2,Electronics,Accessories,EMI,29-10-2018,Palak,Maharashtra,Mumbai
B-25854,381,144,2,Clothing,Saree,COD,12/4/2018,Shrichand,Punjab,Chandigarh
B-26050,487,143,4,Electronics,Phones,EMI,10/10/2018,Kshitij,Madhya Pradesh,Indore
